query_img_id,gt_lat,gt_lon,nearest_gallery_img_id,nearest_gallery_lat,nearest_gallery_lon,nearest_haversine_km
1000269685_e60e9cdfb4_1125_78841376@N00.jpg,32.325436,-64.764404,6c/b1/7791771578.jpg,32.321954,-64.750671,1.3495140877337515
1000304467_1a75a200b1_1296_78841376@N00.jpg,32.325436,-64.764404,6c/b1/7791771578.jpg,32.321954,-64.750671,1.3495140877337515
1001048550_8e4b47d165_1051_78841376@N00.jpg,32.325436,-64.764404,6c/b1/7791771578.jpg,32.321954,-64.750671,1.3495140877337515
1005977048_5ccf8b05d3_1201_91728102@N00.jpg,29.976052,122.390356,80/b6/3646638384.jpg,29.976513,122.390877,0.0716917330570329
1008804117_ce4e6fef8a_1349_97522422@N00.jpg,46.478536,30.758714,5f/02/6498706503.jpg,46.477251,30.759409,0.1524867412751417
1008845063_ace4ef829f_1204_97522422@N00.jpg,46.478536,30.758714,5f/02/6498706503.jpg,46.477251,30.759409,0.1524867412751417
101220879_0a1be45b79_33_24311489@N00.jpg,42.249915,-87.82711,f7/53/4556198706.jpg,42.249232,-87.828354,0.12765312952772265
1014898753_ef4cfaa5d6_1354_96928198@N00.jpg,62.140088,6.074967,1e/db/3894893810.jpg,62.143492,6.073293,0.38928522465022064
1019846234_5e471a10e2_1155_97522422@N00.jpg,42.197494,44.693069,e3/3f/1385872989.jpg,42.17638,44.693756,2.3459645239488096
1021054395_ca7cfe55b3_1061_7132415@N03.jpg,-0.400997,-90.704498,9e/ae/4951338764.jpg,-0.399581,-90.706686,0.2895465639132111
1023756068_20c3ffc329_1039_70323761@N00.jpg,40.807694,-73.962262,29/16/95925308.jpg,40.807637,-73.962278,0.00647223490206302
1029739337_ff06001d12_1361_7132415@N03.jpg,-0.292509,-90.532493,b6/da/8740333418.jpg,-0.292051,-90.534667,0.24724755237514337
103385471_f54982a801_29_73293249@N00.jpg,46.006873,7.279987,87/7e/10327648504.jpg,46.00428,7.2985,1.4626123604236219
103398485_db45794d93_36_73293249@N00.jpg,46.21488,7.049309,eb/f6/4771980181.jpg,46.197987,7.034841,2.1846395139923076
103404365_f852148f5b_34_73293249@N00.jpg,46.080783,7.399454,44/e7/5863673246.jpg,46.080874,7.400332,0.06866278930940459
103433117_266c57c2e6_29_73293249@N00.jpg,46.167286,7.099698,3b/bc/4868318820.jpg,46.168716,7.097253,0.24681946336813398
103433770_9b651cfd20_32_73293249@N00.jpg,46.167286,7.099698,3b/bc/4868318820.jpg,46.168716,7.097253,0.24681946336813398
103442236_09c8d53dbc_37_73293249@N00.jpg,51.501821,-0.140655,0e/26/3404193694.jpg,51.501817,-0.140644,0.0008840061009469022
103457638_224c119b11_30_73293249@N00.jpg,45.999982,7.298584,e8/b4/5740325272.jpg,45.99869,7.299041,0.1479065642632193
103465274_3e879729e0_33_73293249@N00.jpg,46.08035,7.209918,7e/84/2305086511.jpg,46.079661,7.210121,0.07817752131047423
1034783376_9e3db4b81a_1016_70323761@N00.jpg,40.820751,-73.94892,51/f7/6582020009.jpg,40.820304,-73.948642,0.05490103502046026
103558896_55f8059bc9_35_73293249@N00.jpg,43.642423,-79.387153,56/38/302894511.jpg,43.64241,-79.387121,0.002958501465568529
103574519_62331b624f_24_73293249@N00.jpg,43.642423,-79.387153,56/38/302894511.jpg,43.64241,-79.387121,0.002958501465568529
103575522_cc6a522170_34_73293249@N00.jpg,43.642423,-79.387153,56/38/302894511.jpg,43.64241,-79.387121,0.002958501465568529
103577701_b68e15492e_32_73293249@N00.jpg,43.085294,-79.079509,2c/e1/9005387188.jpg,43.085353,-79.079477,0.007053512710983323
103726410_49bcd2e470_33_73293249@N00.jpg,40.711492,-74.01206,f5/ce/7160845208.jpg,40.7115,-74.012,0.005147302698669108
1038069722_cab11140a5_1378_75452460@N00.jpg,48.214093,16.935553,87/80/5015481487.jpg,48.213799,16.937313,0.13482017123354784
103908913_8ef41889e3_36_11114422@N00.jpg,51.195697,-2.27992,c2/7d/2504571075.jpg,51.195374,-2.279148,0.06483401457885951
103910409_51606239db_42_11114422@N00.jpg,51.195697,-2.27992,c2/7d/2504571075.jpg,51.195374,-2.279148,0.06483401457885951
104122769_f122c548dc_40_19355699@N00.jpg,-16.663606,145.563537,a2/43/9262028566.jpg,-16.663225,145.564191,0.08151627927712361
1041241079_904c456418_1430_7132415@N03.jpg,-1.382083,-78.432769,84/e1/4888791820.jpg,-1.379337,-78.435516,0.4308745910804017
104132709_97b998c989_41_19355699@N00.jpg,-33.861328,151.209039,f8/df/203670310.jpg,-33.86115,151.209082,0.02014069562672638
104133298_2619fc0eae_39_19355699@N00.jpg,-33.861328,151.209039,f8/df/203670310.jpg,-33.86115,151.209082,0.02014069562672638
1041333001_9b8e3dc4f1_1284_7132415@N03.jpg,-0.967437,-77.763977,dd/da/4229533916.jpg,-0.970784,-77.75505,1.0602950562420854
104134249_80c92294db_19_19355699@N00.jpg,-33.861328,151.209039,f8/df/203670310.jpg,-33.86115,151.209082,0.02014069562672638
104134428_244b67a2d9_38_19355699@N00.jpg,-33.861328,151.209039,f8/df/203670310.jpg,-33.86115,151.209082,0.02014069562672638
104134591_85c54effac_41_19355699@N00.jpg,-33.861328,151.209039,f8/df/203670310.jpg,-33.86115,151.209082,0.02014069562672638
104138228_eac9608bce_34_19355699@N00.jpg,-36.843876,174.7654,07/5a/2512781427.jpg,-36.844082,174.765186,0.029781582230811766
104146945_2722f724b3_19_14542551@N00.jpg,47.913695,106.833114,bf/47/3638366106.jpg,47.909668,106.838607,0.6075290727944642
1044041591_512737f6a3_1182_9729483@N02.jpg,39.948972,-75.150008,1f/e4/206813463.jpg,39.94898,-75.150003,0.0009856958492484586
104419192_8551684362_41_64825499@N00.jpg,51.508168,-0.076035,6b/d4/2482428446.jpg,51.508174,-0.076024,0.0010143331876263176
104419793_26fe6ba2a3_39_64825499@N00.jpg,51.508168,-0.076035,6b/d4/2482428446.jpg,51.508174,-0.076024,0.0010143331876263176
1051458737_dc88781e19_1257_50435419@N00.jpg,46.547586,-87.378902,cb/cf/3935433336.jpg,46.547608,-87.378803,0.007976988651509823
1052934673_018d08d79c_1247_89904893@N00.jpg,51.210297,-2.643113,b7/30/867058514.jpg,51.210244,-2.643005,0.009577310445912193
1054676623_3278c97053_1242_70323761@N00.jpg,40.763169,-73.945257,6b/47/8183645923.jpg,40.763217,-73.945455,0.017547438270431228
1055535547_d8ebd9b0ff_1005_52057668@N00.jpg,43.345154,11.293945,fe/dc/155894067.jpg,43.339162,11.288452,0.8009730279378618
1055596489_76a46df552_1047_52057668@N00.jpg,43.345154,11.293945,fe/dc/155894067.jpg,43.339162,11.288452,0.8009730279378618
1056311007_52319e8695_1127_9729483@N02.jpg,19.633291,-155.98991,ed/1b/6077237174.jpg,19.633311,-155.990045,0.014331825105712508
1056987156_2fb85c8d9d_1152_9729483@N02.jpg,19.782928,-156.036463,65/e3/4705539142.jpg,19.782266,-156.036769,0.07999263993274203
1058450330_29b27f18cc_1304_52057668@N00.jpg,48.858842,2.329101,22/3a/2495018611.jpg,48.85839,2.329101,0.050265563031733
1061820145_989476e8d1_1056_17351226@N00.jpg,-0.331476,36.074466,7e/80/6144404204.jpg,-0.333879,36.074638,0.2663990190188368
1064247804_21a7ce7392_1272_73293249@N00.jpg,52.506442,13.337682,9e/ee/3983107260.jpg,52.506488,13.337595,0.00781651911659922
1065427105_186af84f48_1367_70323761@N00.jpg,41.935064,-74.018674,55/4f/3352841888.jpg,41.935279,-74.018676,0.023881061400401266
1066619342_4f62e58221_1239_70323761@N00.jpg,41.933021,-74.019286,02/a8/1276471580.jpg,41.932909,-74.019334,0.013061529952434906
1070752568_b1ed6014e4_1333_93455345@N00.jpg,50.252912,19.025573,34/04/5745792995.jpg,50.253442,19.024931,0.07464567365417986
1070839510_05f6cf6ef2_1162_93455345@N00.jpg,50.260814,18.846359,61/b2/7928971506.jpg,50.258621,18.858499,0.8994006883593991
1070873718_eab41ad951_1427_93455345@N00.jpg,50.260814,18.846359,61/b2/7928971506.jpg,50.258621,18.858499,0.8994006883593991
107184433_0e6c4969c5_35_96388182@N00.jpg,43.676314,-92.963894,d6/c9/10216202333.jpg,43.677,-92.961167,0.23274064414275375
1076964851_c20355b981_1431_93455345@N00.jpg,43.137069,131.929321,d1/40/5864877198.jpg,43.136337,131.938733,0.7700659761018532
1076986527_4de9d086bc_1124_93455345@N00.jpg,43.137069,131.929321,d1/40/5864877198.jpg,43.136337,131.938733,0.7700659761018532
1077074655_69c5dba648_1048_93455345@N00.jpg,52.045734,113.411865,f5/1e/6194309728.jpg,52.042355,113.46405,3.600129859611217
1077086393_e1aea6d21e_1090_93455345@N00.jpg,52.32191,104.227294,5a/1a/5012075180.jpg,52.325347,104.234161,0.6045495867501387
1077155473_80c037f16a_1120_93455345@N00.jpg,51.733832,39.25415,2f/7d/5126872738.jpg,51.72191,39.247004,1.4153794570269502
107717568_95f67ce436_37_17351226@N00.jpg,59.929043,30.313854,fe/66/9761907864.jpg,59.929586,30.31413,0.06243388387332296
1077208489_d307c44d40_1355_93455345@N00.jpg,43.137069,131.929321,d1/40/5864877198.jpg,43.136337,131.938733,0.7700659761018532
107723582_6c02eba98c_44_17351226@N00.jpg,59.929043,30.313854,fe/66/9761907864.jpg,59.929586,30.31413,0.06243388387332296
107723692_6abd246261_52_17351226@N00.jpg,59.929043,30.313854,fe/66/9761907864.jpg,59.929586,30.31413,0.06243388387332296
107723908_e96144f997_56_17351226@N00.jpg,59.929043,30.313854,fe/66/9761907864.jpg,59.929586,30.31413,0.06243388387332296
1077244783_6b676179aa_1032_93455345@N00.jpg,51.733832,39.25415,2f/7d/5126872738.jpg,51.72191,39.247004,1.4153794570269502
1077872058_04a9b36974_1148_93455345@N00.jpg,50.656425,27.160949,9b/78/3598604462.jpg,50.610478,26.701927,32.87519717677671
1077955412_5c254dabba_1246_93455345@N00.jpg,54.788017,55.964355,db/b9/3639206596.jpg,54.757717,55.9659,3.3744412034421236
1079732334_0baae72c4f_1271_25159586@N00.jpg,34.902638,132.0891,dd/ec/9670513137.jpg,34.902555,132.089025,0.011479238573346894
108325116_1b1cd483cc_42_17351226@N00.jpg,60.389391,5.330429,6a/7e/8250491706.jpg,60.389264,5.330772,0.02362139527502055
108328982_9befccdd12_52_17351226@N00.jpg,60.389391,5.330429,6a/7e/8250491706.jpg,60.389264,5.330772,0.02362139527502055
108344521_b7f5d1ba86_37_17351226@N00.jpg,64.139968,-21.918754,2d/78/5304365130.jpg,64.139893,-21.919097,0.018675718975833536
1085645221_dad5caca79_1379_33463080@N00.jpg,13.732881,100.503273,f2/6e/116416829.jpg,13.733715,100.503616,0.09944962755351942
1085889653_66207e5068_1416_33463080@N00.jpg,14.021187,99.527893,cf/1b/6605210513.jpg,14.021833,99.527833,0.07176638716245229
1086201488_cd08f71bb8_1056_33463080@N00.jpg,13.732881,100.503273,f2/6e/116416829.jpg,13.733715,100.503616,0.09944962755351942
1086319092_34f919b886_1232_33463080@N00.jpg,13.732881,100.503273,f2/6e/116416829.jpg,13.733715,100.503616,0.09944962755351942
1088267191_8f3a46f0c1_1142_15376845@N00.jpg,41.17567,-73.101063,b1/2f/4915108370.jpg,41.17523,-73.100473,0.06956177513293246
1088326301_bba2b5385d_1408_15376845@N00.jpg,41.17567,-73.101063,b1/2f/4915108370.jpg,41.17523,-73.100473,0.06956177513293246
109003732_1ac8be791c_40_18684820@N00.jpg,13.735383,100.500183,13/cf/2942844880.jpg,13.734549,100.500354,0.09410646467400435
109040743_ad2fafd7e9_51_18684820@N00.jpg,16.056371,103.646392,8d/5b/283419411.jpg,16.058021,103.650512,0.4771711659122484
109046783_1ec629777a_51_18684820@N00.jpg,16.056371,103.646392,8d/5b/283419411.jpg,16.058021,103.650512,0.4771711659122484
109049475_c5794551d3_53_18684820@N00.jpg,16.056371,103.646392,8d/5b/283419411.jpg,16.058021,103.650512,0.4771711659122484
109090818_b0c5177552_47_18684820@N00.jpg,17.400605,104.779701,a1/38/430199112.jpg,17.395788,104.788801,1.1041768460348715
1091261185_24d87262d8_1178_80333007@N00.jpg,43.54693,10.312557,76/0d/2570001487.jpg,43.546969,10.3132,0.05214373598208651
109444677_b9311d353a_51_44972214@N00.jpg,32.759562,-117.180175,37/61/2902762014.jpg,32.758953,-117.18098,0.10125028285049696
109444762_8b7eb2eff0_45_44972214@N00.jpg,32.759562,-117.180175,37/61/2902762014.jpg,32.758953,-117.18098,0.10125028285049696
109445154_504554586a_56_44972214@N00.jpg,32.759562,-117.180175,37/61/2902762014.jpg,32.758953,-117.18098,0.10125028285049696
109445802_c3767617e6_55_44972214@N00.jpg,32.759562,-117.180175,37/61/2902762014.jpg,32.758953,-117.18098,0.10125028285049696
1094476901_8af0525615_1092_33463080@N00.jpg,12.917568,104.58847,20/e2/2417501857.jpg,12.900835,104.607696,2.7893069073141494
109503491_ab4fb29d21_41_18684820@N00.jpg,12.683549,101.272659,91/8e/6557969425.jpg,12.687255,101.267788,0.6693445528511154
1095141034_31d7994014_1432_33463080@N00.jpg,12.917568,104.58847,20/e2/2417501857.jpg,12.900835,104.607696,2.7893069073141494
109515826_6e23accec7_54_18684820@N00.jpg,13.735383,100.500183,13/cf/2942844880.jpg,13.734549,100.500354,0.09410646467400435
1095455094_de1cee2271_1306_33463080@N00.jpg,12.917568,104.58847,20/e2/2417501857.jpg,12.900835,104.607696,2.7893069073141494
1096265513_0803ddb49c_1181_33463080@N00.jpg,13.372585,103.856849,fa/72/5182099847.jpg,13.372752,103.856849,0.01847582738736956
1097531112_dce44408c2_1403_9729483@N02.jpg,21.331284,-157.920624,23/e1/8556872532.jpg,21.331333,-157.920667,0.007023746098314244
1097784160_262625335f_1009_9729483@N02.jpg,38.035171,-97.92862,bd/50/1664141243.jpg,38.038898,-97.937278,0.86535785204542
1099044629_a345ba7db8_1115_70323761@N00.jpg,40.742713,-74.006448,93/b4/8288918959.jpg,40.74263,-74.006416,0.00960516486858086
1099219094_cad7dd327e_1258_70323761@N00.jpg,40.719615,-73.953469,e1/cb/9522088315.jpg,40.719664,-73.953416,0.007047064133825
110016321_34c0ac4524_55_18684820@N00.jpg,13.735383,100.500183,13/cf/2942844880.jpg,13.734549,100.500354,0.09410646467400435
